Date,Open Balances,Closed,New Cases
1/1,1963,0,468
2/1,2431,0,503
3/1,2934,857,1212
4/1,3146,727,1039
5/1,3368,949,826
6/1,3159,942,828
7/1,2892,769,750
8/1,2733,0,335
9/1,3068,0,326
10/1,3394,767,824
11/1,3313,856,746
12/1,3095,831,708
13/1,2764,658,658
14/1,2545,680,654
15/1,2139,11,326
16/1,2454,0,268
17/1,2722,766,661
18/1,2774,772,700
19/1,2459,750,789
20/1,2292,786,691
21/1,2111,651,606
22/1,1791,0,276
23/1,2067,0,230
24/1,2297,675,589
25/1,2083,770,607
26/1,1923,883,571
27/1,1247,810,566
28/1,976,530,462
29/1,777,0,244
30/1,1021,0,174
31/1,1195,411,389
1/2,1218,0,142
2/2,1360,0,196
3/2,1556,680,547
4/2,1416,553,585
5/2,1247,0,275
6/2,1522,0,275
7/2,1797,684,686
8/2,1754,626,646
9/2,1684,673,621
10/2,1454,690,530
11/2,1189,623,568
12/2,956,0,273
13/2,1229,0,225
14/2,1454,521,525
15/2,1445,593,548
16/2,1189,642,608
17/2,1037,608,681
18/2,1037,477,599
19/2,1110,19,330
20/2,1421,0,312
21/2,1733,614,767
22/2,1787,549,722
23/2,1800,651,638
24/2,1739,690,591
25/2,1372,642,561
26/2,1250,0,293
27/2,1543,0,243
28/2,1786,673,633
1/3,1622,659,655
2/3,1618,740,719
3/3,1406,681,695
4/3,1333,609,619
5/3,1219,0,275
6/3,1494,0,275
7/3,1769,530,670
8/3,1948,645,675
9/3,1795,659,650
10/3,1664,564,605
11/3,1535,515,588
12/3,1543,0,249
13/3,1792,0,260
14/3,2052,575,656
15/3,1958,562,664
16/3,1987,719,631
17/3,1699,581,647
18/3,1663,529,582
19/3,1615,0,244
20/3,1859,0,247
21/3,2106,571,693
22/3,2046,551,598
23/3,1905,691,597
24/3,1703,599,571
25/3,1522,479,638
26/3,1558,0,260
27/3,1818,0,238
28/3,2056,526,600
29/3,1938,572,584
30/3,1765,656,642
31/3,1585,510,569
1/4,1560,544,565
2/4,1358,0,218
3/4,1576,0,296
4/4,1872,625,627
5/4,1775,563,653
6/4,1692,608,641
7/4,1719,589,640
8/4,1769,549,567
9/4,1565,0,230
10/4,1795,0,298
11/4,2093,563,652
12/4,2109,600,577
13/4,1931,606,548
14/4,1712,501,566
15/4,1617,1,239
16/4,1855,11,209
17/4,2053,0,258
18/4,2311,546,567
19/4,2343,570,595
20/4,2122,691,633
21/4,1880,504,691
22/4,1950,516,769
23/4,2084,0,315
24/4,2399,0,223
25/4,2622,756,648
26/4,3346,1113,657
27/4,2725,1146,624
28/4,2053,654,559
29/4,1802,503,489
30/4,1788,0,191
1/5,1979,0,152
2/5,2131,21,217
3/5,2131,48,205
4/5,2028,624,548
5/5,2092,595,642
6/5,1922,516,624
7/5,1788,6,217
8/5,1999,2,182
9/5,2179,622,551
10/5,2054,652,572
11/5,1752,665,571
12/5,1485,599,535
13/5,1268,499,475
14/5,1081,7,238
15/5,1312,8,187
16/5,1491,0,247
17/5,1738,549,568
18/5,1744,574,549
19/5,1218,575,545
20/5,1324,557,492
21/5,1101,4,270
22/5,1367,0,235
23/5,1602,551,591
24/5,1591,526,588
25/5,1482,541,603
26/5,1311,530,541
27/5,1151,463,537
28/5,1085,0,234
29/5,1319,0,203
30/5,1522,487,578
31/5,1498,560,552
1/6,1337,539,517
2/6,1191,476,554
3/6,1176,445,450
4/6,1012,1,197
5/6,1208,7,176
6/6,1377,461,535
7/6,1379,503,529
8/6,1240,506,460
9/6,1035,481,495
10/6,894,350,419
11/6,902,0,184
12/6,1086,11,179
13/6,1254,499,576
14/6,1251,431,528
15/6,1192,486,527
16/6,1050,427,542
17/6,1022,342,499
18/6,1032,0,158
19/6,1190,0,163
20/6,1353,449,467
21/6,1168,498,555
22/6,1165,467,529
23/6,1087,417,478
24/6,1026,401,442
25/6,688,0,226
26/6,914,0,185
27/6,1099,430,528
28/6,1102,442,500
29/6,954,487,534
30/6,892,432,442
1/7,968,361,429
2/7,951,0,178
3/7,1129,0,172
4/7,1301,409,462
5/7,1298,480,507
6/7,1204,476,537
7/7,1225,407,491
8/7,1188,369,375
9/7,1048,0,200
10/7,1248,0,66
11/7,1314,0,105
12/7,1419,407,533
13/7,1661,503,488
14/7,1500,443,432
15/7,1426,417,456
16/7,1329,0,193
17/7,1522,0,196
18/7,1718,421,532
19/7,1788,410,496
20/7,1586,429,460
21/7,1579,453,569
22/7,1598,371,503
23/7,1244,0,217
24/7,1461,0,181
25/7,1642,524,623
26/7,1883,482,546
27/7,1937,478,510
28/7,1816,441,486
29/7,1732,346,435
30/7,1625,0,211
31/7,1836,0,203
1/8,2039,474,549
2/8,2094,460,484
3/8,1934,465,477
4/8,1751,488,456
5/8,1591,393,427
6/8,1528,1,177
7/8,1704,0,147
8/8,1851,417,419
9/8,1935,0,172
10/8,1943,444,431
11/8,1751,406,480
12/8,1693,261,436
13/8,1765,0,204
14/8,1969,0,182
15/8,2151,408,479
16/8,2120,374,486
17/8,2126,379,462
18/8,2092,400,486
19/8,2029,360,402
20/8,1910,0,176
21/8,2086,0,160
22/8,2246,399,441
23/8,2217,438,413
24/8,1994,428,495
25/8,1887,396,550
26/8,1890,336,479
27/8,1961,0,198
28/8,2159,0,160
29/8,2319,382,491
30/8,2279,448,492
31/8,2170,389,410
1/9,1998,413,530
2/9,1971,366,477
3/9,2013,0,203
4/9,2216,0,152
5/9,2368,344,563
6/9,2471,350,502
7/9,2554,429,517
8/9,2505,485,522
9/9,2321,351,404
10/9,2284,0,184
11/9,2468,0,43
12/9,2511,435,524
13/9,2560,414,496
14/9,2538,436,474
15/9,2393,378,494
16/9,2445,430,407
17/9,2312,6,166
18/9,2472,60,152
19/9,2532,416,513
20/9,2398,440,489
21/9,2225,463,554
22/9,2205,421,440
23/9,2168,418,427
24/9,2068,0,143
25/9,2211,0,142
26/9,2353,414,506
27/9,2337,482,523
28/9,2304,506,501
29/9,2263,450,519
30/9,2275,384,495
1/10,2090,2,219
2/10,2307,0,189
3/10,2496,418,541
4/10,2626,430,466
5/10,2579,450,447
6/10,2431,452,528
7/10,2437,503,485
8/10,2162,19,186
9/10,2329,0,169
10/10,2694,452,459
11/10,2579,431,518
12/10,2555,405,461
13/10,2507,423,472
14/10,2406,430,450
15/10,2284,22,198
16/10,2460,0,169
17/10,2629,441,516
18/10,2630,475,511
19/10,2571,448,502
20/10,2484,403,490
21/10,2440,428,485
22/10,2155,0,164
23/10,2319,0,154
24/10,2473,0,202
25/10,2839,376,459
26/10,2825,361,448
27/10,2813,402,511
28/10,2840,386,451
29/10,2726,3,209
30/10,2932,0,173
31/10,3081,474,491
1/11,2977,434,502
2/11,2958,425,493
3/11,2866,393,502
4/11,2801,456,464
5/11,2809,0,186
6/11,2995,10,158
7/11,3097,458,508
8/11,3087,398,523
9/11,3025,454,508
10/11,2905,442,517
11/11,2833,447,422
12/11,2808,1,182
13/11,2989,6,161
14/11,2920,403,535
15/11,3013,417,602
16/11,3072,454,593
17/11,3133,456,448
18/11,3037,465,455
19/11,3027,17,181
20/11,3191,42,178
21/11,3228,471,521
22/11,3126,529,511
23/11,2964,508,537
24/11,2811,409,477
25/11,2740,411,457
26/11,2786,43,175
27/11,2918,0,194
28/11,3017,488,516
29/11,2901,389,554
30/11,2825,452,483
1/12,2819,475,520
2/12,2713,457,543
3/12,2799,26,192
4/12,2965,7,206
5/12,3060,435,610
6/12,3145,450,532
7/12,3038,410,480
8/12,2921,469,515
9/12,2972,493,455
10/12,2934,19,197
11/12,3112,0,219
12/12,3021,486,528
13/12,3181,538,503
14/12,3085,498,513
15/12,2956,467,482
16/12,2851,518,535
17/12,2624,59,234
18/12,2799,22,193
19/12,2970,511,473
20/12,2955,508,550
21/12,2862,421,534
22/12,2772,470,535
23/12,2807,504,444
24/12,2747,0,178
25/12,2925,0,110
26/12,3035,2,182
27/12,3215,520,625
28/12,3055,498,558
29/12,2965,435,585
30/12,2945,356,545
31/12,3134,20,201
